Datetime	Emma	Callum
2017-06-28 13:50	698	811
2017-06-28 13:51	700	812
2017-06-28 13:51	697	810
2017-06-28 13:52	685	811
2017-06-28 13:53	677	812
2017-06-28 13:54	679	811
2017-06-28 13:54	683	812
2017-06-28 13:55	670	812
2017-06-28 13:56	669	813
2017-06-28 13:57	674	812
2017-06-28 13:57	676	811
2017-06-28 13:58	677	809
2017-06-28 13:59	680	810
2017-06-28 14:00	683	809
2017-06-28 14:00	686	809
2017-06-28 14:01	685	810
2017-06-28 14:02	684	809
2017-06-28 14:03	682	809
2017-06-28 14:03	681	809
2017-06-28 14:04	683	810
2017-06-28 14:05	685	809
2017-06-28 14:06	686	810
2017-06-28 14:06	688	809
2017-06-28 14:07	689	810
2017-06-28 14:08	690	810
2017-06-28 14:09	694	812
2017-06-28 14:09	693	812
2017-06-28 14:10	697	811
2017-06-28 14:11	699	812
2017-06-28 14:12	697	811
2017-06-28 14:12	701	812
2017-06-28 14:13	700	812
2017-06-28 14:14	702	811
2017-06-28 14:15	700	811
2017-06-28 14:15	704	811
2017-06-28 14:16	702	814
2017-06-28 14:17	699	812
2017-06-28 14:18	700	813
2017-06-28 14:18	701	810
2017-06-28 14:19	703	810
2017-06-28 14:20	709	809
2017-06-28 14:21	713	807
2017-06-28 14:21	714	808
2017-06-28 14:22	718	810
2017-06-28 14:23	724	810
2017-06-28 14:24	728	810
2017-06-28 14:24	725	814
2017-06-28 14:25	706	814
2017-06-28 14:26	697	814
2017-06-28 14:27	684	814
2017-06-28 14:27	676	814
2017-06-28 14:28	669	814
2017-06-28 14:29	664	811
2017-06-28 14:30	660	809
2017-06-28 14:30	657	811
2017-06-28 14:31	657	810
2017-06-28 14:32	656	810
2017-06-28 14:33	652	810
2017-06-28 14:33	654	810
2017-06-28 14:34	657	810
2017-06-28 14:35	658	810
2017-06-28 14:36	663	810
2017-06-28 14:36	663	811
2017-06-28 14:37	665	812
2017-06-28 14:38	664	811
2017-06-28 14:39	666	811
2017-06-28 14:39	667	811
2017-06-28 14:40	668	810
2017-06-28 14:41	669	810
2017-06-28 14:42	671	810
2017-06-28 14:42	676	810
2017-06-28 14:43	677	810
2017-06-28 14:44	680	810
2017-06-28 14:45	685	809
2017-06-28 14:45	685	809
2017-06-28 14:46	681	810
2017-06-28 14:47	676	810
2017-06-28 14:48	677	809
2017-06-28 14:48	676	810
2017-06-28 14:49	675	810
2017-06-28 14:50	676	810
2017-06-28 14:51	679	809
2017-06-28 14:51	680	809
2017-06-28 14:52	683	809
2017-06-28 14:53	685	811
2017-06-28 14:54	685	811
2017-06-28 14:54	690	809
2017-06-28 14:55	688	810
2017-06-28 14:56	692	810
2017-06-28 14:57	684	810
2017-06-28 14:57	681	810
2017-06-28 14:58	677	811
2017-06-28 14:59	675	812
2017-06-28 15:00	672	812
2017-06-28 15:00	671	812
2017-06-28 15:01	671	812
2017-06-28 15:02	673	813
2017-06-28 15:03	675	812
2017-06-28 15:03	680	813
2017-06-28 15:04	686	813
2017-06-28 15:05	688	814
